"Direct Costs Export - 02/27/2026 11:32 AM
",,,,,
"Project: 24-115 Westfield Collective - Westfield, IN
",,,,,
"05/20/2025 08:52 AM
","Approved
","Expense
","BESTBUYCOM807014800475
","
",$149.79
"05/20/2025 09:02 AM
","Approved
","Expense
","MSFT * E0100VBQ7X
","
",$192.60
"05/20/2025 09:02 AM
","Approved
","Expense
","Autodesk ADY
","
",$551.05
"05/09/2025 09:53 AM
","Approved
","Expense
","GET GO #7551
","
",$50.03
"05/20/2025 09:24 AM
","Approved
","Expense
","CLAUDE.AI SUBSCRIPTION
","
",$20.00
06/10/2025 10:26 AM,Approved,Expense,OFFICEMAX/DEPOT 6545,,$26.74
06/04/2025 12:51 PM,Approved,Expense,EXTRA SPACE 1393,,$225.00
06/10/2025 10:27 AM,Approved,Expense,OFFICEMAX/DEPOT 6545,,-$53.48
06/10/2025 10:28 AM,Approved,Expense,BEST BUY      00002295,,$64.19
06/10/2025 01:01 PM,Approved,Expense,IN BIZ CONV. FEE,,$1.00
06/10/2025 01:01 PM,Approved,Expense,SPEEDWAY 43908,,$64.01
06/10/2025 01:02 PM,Approved,Expense,JOYLILYPHOTOGRAPHY.LLC,,$350.00
06/10/2025 01:10 PM,Approved,Expense,BKG*HOLIDAY INN EXPRES,,$252.00
06/10/2025 01:12 PM,Approved,Expense,FEDEX OFFICE 800000836,,$173.02
06/10/2025 01:13 PM,Approved,Expense,HOBBY-LOBBY #980,,$89.40
06/10/2025 01:13 PM,Approved,Expense,TST* TITO'S CANTINA TEQUI,,$255.90
06/10/2025 01:13 PM,Approved,Expense,TST*HOOKED ISLAND GRILL,,$52.74
06/30/2025 06:24 PM,Approved,Expense,AMAZON RETA* NI7EQ9LV2,,$354.12
06/30/2025 06:25 PM,Approved,Expense,LOWES #01525*,,$42.78
06/30/2025 06:25 PM,Approved,Expense,MCCLURE STORE #65,,$64.57
06/30/2025 06:25 PM,Approved,Expense,COSTCO GAS #1666,,$50.44
06/30/2025 06:26 PM,Approved,Expense,GET GO #7551,,$50.03
07/07/2025 01:09 PM,Approved,Expense,TWIN PEAKS INDY,,$55.05
07/07/2025 01:23 PM,Approved,Expense,CVS/PHARMACY #11411,,$26.28
07/07/2025 01:13 PM,Approved,Expense,MENARDS CARMEL IN,,$13.90
07/07/2025 01:44 PM,Approved,Expense,LOWES #01525*,,$20.72
07/07/2025 01:45 PM,Approved,Expense,BEST BUY      00004903,,$81.30
07/07/2025 01:45 PM,Approved,Expense,OFFICEMAX/DEPOT 6545,,$11.76
07/08/2025 05:53 PM,Approved,Expense,LOWES #01525*,,$48.11
03/05/2025 12:17 PM,Approved,Invoice,,,$0.00
03/05/2025 01:06 PM,Approved,Invoice,,,$0.00
03/05/2025 01:06 PM,Approved,Invoice,,,$0.00
03/05/2025 01:11 PM,Approved,Invoice,,,$0.00
03/05/2025 01:14 PM,Approved,Invoice,,,$0.00
07/07/2025 01:16 PM,Approved,Expense,SPEEDWAY 06882 740 EAST S,,$6.99
03/17/2025 11:43 AM,Approved,Expense,Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025,,"$2,303.19"
04/16/2025 12:10 PM,Approved,Expense,Pay Date 02/28/2025 | Pay Period for : B 02/09/2025 to 02/22/2025,,"$8,455.39"
04/16/2025 02:22 PM,Approved,Expense,Pay Date 03/14/2025 | Pay Period for : B 02/23/2025 to 03/08/2025,,"$7,631.62"
04/16/2025 03:01 PM,Approved,Expense,Pay Date 03/28/2025 | Pay Period for : B 03/09/2025 to 03/22/2025,,"$7,127.23"
06/04/2025 02:42 PM,Approved,Expense,Fixed Fee Services - Construction Documentation (75% complete) -Westfield Collective - GL Reclass,,$0.00
06/17/2025 12:11 PM,Approved,Expense,Pay Date 05/23/2025 | Pay Period for : B 05/04/2025 to 05/17/2025,,"$13,510.27"
06/17/2025 12:14 PM,Approved,Expense,Pay Date 05/09/2025 | Pay Period for : B 04/20/2025 to 05/03/2025,,"$14,578.48"
06/24/2025 03:03 PM,Approved,Invoice,Reclass to Subcon,,$0.00
06/24/2025 03:03 PM,Approved,Invoice,Reclass to Subcon,,$0.00
06/24/2025 03:06 PM,Approved,Invoice,Reclass to Subcon,,$0.00
07/11/2025 07:34 PM,Approved,Invoice,Geotechnical Exploration,,"$12,500.00"
07/11/2025 07:34 PM,Approved,Invoice,Professional Services through 01/31/2024,,"$2,625.00"
07/11/2025 07:34 PM,Approved,Invoice,Fixed Fee Services - Design Development,,"$21,000.00"
07/11/2025 07:34 PM,Approved,Invoice,Fixed Fee Services - Design Development (75% complete),,"$10,500.00"
07/11/2025 07:34 PM,Approved,Invoice,"Preliminary site layout, site construction plan & design",,"$12,420.20"
07/11/2025 07:34 PM,Approved,Invoice,Professional Services through 02/28/2024 - Westfield Collective,,"$2,625.00"
07/11/2025 07:34 PM,Approved,Invoice,State review fees - Westfield Collective,,"$2,365.01"
07/11/2025 07:34 PM,Approved,Invoice,Tree removal - Westfield Collective,,"$2,500.00"
07/11/2025 07:34 PM,Approved,Invoice,Fixed Fee Services - Construction Documentation (75% complete) -Westfield Collective,,"$31,500.00"
04/07/2025 07:14 AM,Approved,Expense,,,"-$1,524.03"
04/08/2025 06:58 AM,Approved,Expense,Payroll # 20252 | Pay Date 01/31/2025 | Pay Period for : B 01/12/2025 to 01/25/2025,,"$2,602.11"
07/11/2025 07:34 PM,Approved,Invoice,Invoice 274390 : Westfield Collective 04/18/25,,$411.00
07/11/2025 07:34 PM,Approved,Invoice,Fixed Fee Services - Design Development (100% complete) -Westfield Collective,,"$10,500.00"
07/11/2025 07:34 PM,Approved,Invoice,Fixed Fee Services - Construction Documentation (90% complete) -Westfield Collective,,"$6,300.00"
07/11/2025 07:34 PM,Approved,Invoice,Invoice 274633 : Westfield Collective 04/21/25,,$411.00
07/11/2025 07:34 PM,Approved,Invoice,Westfield Collective,,"$8,680.70"
07/11/2025 07:34 PM,Approved,Invoice,Westfield Collective,,"$6,070.15"
07/11/2025 07:34 PM,Approved,Invoice,Permit Requirements Westfield Collective,,$800.00
07/11/2025 07:34 PM,Approved,Invoice,Westfield Collective - April Inspection,,$412.50
07/11/2025 07:34 PM,Approved,Invoice,Invoice 275185 : Westfield Collective 04/28; 5/2/25,,$910.00
07/11/2025 07:34 PM,Approved,Invoice,Fixed Fee Services - Design Development (100% complete) -Westfield Collective,,$0.00
07/11/2025 07:34 PM,Approved,Invoice,Fixed Fee Services - Construction Documentation (90% complete) -Westfield Collective,,"$6,300.00"
07/11/2025 07:34 PM,Approved,Invoice,Inv101196 - Professional Services through 04/30/2025 - Westfield Collective,,"$5,250.00"
07/11/2025 07:34 PM,Approved,Invoice,Westfield Collective,,"$1,078.22"
07/11/2025 07:34 PM,Approved,Invoice,Westfield - Oklahoma Sound Clear Acrylic Curved Lectern,,$107.00
07/11/2025 07:34 PM,Approved,Invoice,Westfield Collective - March Inspection,,$187.50
07/11/2025 07:34 PM,Approved,Invoice,Inv7836837 - Westfield Collective,,$802.50
07/11/2025 07:34 PM,Approved,Invoice,Permit Fee - Westfield Collective,,"$29,982.16"
07/11/2025 07:34 PM,Approved,Invoice,Invoice 277292 : Westfield Collective 5/21,,$483.00
07/11/2025 07:34 PM,Approved,Invoice,Inv101245 - Professional Services through 05/31/2025 - Westfield Collective,,"$1,500.00"
07/11/2025 07:34 PM,Approved,Invoice,Westfield Collective - Secondary Plat (90%),,"$1,477.21"
07/11/2025 07:34 PM,Approved,Invoice,IN-10130 Design Fees Westfield Collective (1/3),,"$5,463.12"
07/11/2025 07:34 PM,Approved,Invoice,INV I35380 - Standard Toilet - Westfield Collective,,$250.00
07/11/2025 07:34 PM,Approved,Invoice,Permit Requirements Westfield Collective,,$500.00
07/11/2025 07:34 PM,Approved,Invoice,Westfield Collective,,"$1,080.70"
07/11/2025 07:34 PM,Approved,Invoice,CVG41-5250806-0001 - Westfield Collective,,$535.00
07/11/2025 07:34 PM,Approved,Invoice,INV I36192 - Trailer Water & Waste Tank Rental - Westfield Collective,,$700.00
07/11/2025 07:34 PM,Approved,Invoice,Invoice 280241 : Westfield Collective 6/19,,$549.67
07/11/2025 07:34 PM,Approved,Invoice,INV I36314 - Standard Toilet Rental - Westfield Collective,,$250.00
07/11/2025 07:34 PM,Approved,Invoice,Fixed Fee Services - Construction Documentation (75% complete) -Westfield Collective,,"$31,500.00"
07/11/2025 07:34 PM,Approved,Invoice,Fixed Fee Services - Design Development,,"$21,000.00"
07/11/2025 07:34 PM,Approved,Invoice,Professional Services through 02/28/2024 - Westfield Collective,,"$2,625.00"
07/11/2025 07:34 PM,Approved,Invoice,Professional Services through 01/31/2024,,"$2,625.00"
07/11/2025 07:34 PM,Approved,Invoice,Fixed Fee Services - Design Development (75% complete),,"$10,500.00"
07/11/2025 07:34 PM,Approved,Invoice,Westfield Collective - Secondary Plat (100%),,$350.00
07/11/2025 07:34 PM,Approved,Invoice,Inv101329- Construction Administration - Westfield Collective,,"$1,125.00"
07/11/2025 07:34 PM,Approved,Invoice,Westfield Collective,,"$11,021.00"
04/08/2025 06:59 AM,Approved,Expense,Payroll # 20253 | Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025,,"$1,524.03"
07/11/2025 07:34 PM,Approved,Invoice,IND-5066982-001 - Westfield Collective,,$342.40
07/11/2025 07:34 PM,Approved,Invoice,IND-5066982-000 - Westfield Collective,,$342.40
07/11/2025 07:34 PM,Approved,Invoice,Westfield Collective,,"$1,080.70"
05/09/2025 09:47 AM,Approved,Expense,AMAZON MARK* 7V4CM4RI3,,$89.30
05/09/2025 09:48 AM,Approved,Expense,COSTCO GAS #0346,,$50.19
05/09/2025 09:53 AM,Approved,Expense,COSTCO GAS #0346,,$50.16
05/09/2025 09:53 AM,Approved,Expense,BEST BUY      00002295,,$48.14
05/13/2025 03:20 PM,Approved,Expense,A CLASSIC PARTY RENTAL,,"$1,212.98"
05/20/2025 09:02 AM,Approved,Expense,BESTBUYCOM807031174398,,"$1,551.49"
06/10/2025 10:29 AM,Approved,Expense,BEST BUY      00002295,,$48.14
06/10/2025 01:13 PM,Approved,Expense,IN *FORT MYERS DIGITAL,,$758.81
06/30/2025 06:27 PM,Approved,Expense,UBER *TRIP,,$55.94
07/07/2025 01:21 PM,Approved,Expense,OFFICEMAX/DEPOT 6545,,$55.58
07/16/2025 03:47 PM,Approved,Expense,UBER   *TRIP,,$57.92
07/16/2025 03:54 PM,Approved,Expense,STATE OF INDIANA IN.GOV,,$17.13
07/16/2025 03:56 PM,Approved,Expense,HAMILTONCO RECORDER,,$36.09
07/17/2025 06:14 PM,Approved,Expense,MENARDS CARMEL IN,,$69.41
07/17/2025 06:14 PM,Approved,Expense,TRACTOR-SUPPLY-CO #0431,,$32.08
07/17/2025 06:24 PM,Approved,Expense,PIP PRINTING - CARMEL,,$224.70
07/17/2025 06:25 PM,Approved,Expense,PAYPAL *TTCPEXPRESS,,$50.00
07/17/2025 06:29 PM,Approved,Expense,UPTOWN CAFE,,$17.16
07/17/2025 06:33 PM,Approved,Expense,CIRCLE K 02313,,$62.60
07/17/2025 06:34 PM,Approved,Expense,AMAZON MKTPL*NA9VD7KR0,,$41.00
07/17/2025 06:34 PM,Approved,Expense,AMAZON MKTPL*NA2L16IC1,,$64.15
07/17/2025 09:02 PM,Approved,Expense,UBER   *TRIP adj,,-$57.92
07/28/2025 12:35 PM,Approved,Expense,TARGET        00010637,,$22.34
07/28/2025 12:57 PM,Approved,Expense,COSTCO GAS #1666,,$63.57
07/28/2025 01:02 PM,Approved,Expense,KNOX COMPANY INC,,"$1,225.15"
07/28/2025 01:06 PM,Approved,Expense,CVS/PHARMACY #11411,,$39.54
07/28/2025 01:14 PM,Approved,Expense,LOWES #01525*,,$92.85
07/28/2025 01:14 PM,Approved,Expense,COSTCO GAS #1666,,$54.91
07/29/2025 01:31 PM,Approved,Invoice,Invoice 281912 : Westfield Collective 7/7,,$499.00
07/29/2025 01:31 PM,Approved,Invoice,Inv i7764 - Base Bid - Ibeach temp power for trailer,,"$1,545.00"
07/29/2025 01:31 PM,Approved,Invoice,INV I37394 -Trailer Water Tank Rental - Westfield Collective,,$500.00
07/29/2025 01:31 PM,Approved,Invoice,INV I37396 - Standard Toilet Rental - Westfield Collective,,$250.00
07/29/2025 01:31 PM,Approved,Invoice,Invoice 282695 : Westfield Collective 7/16,,$549.67
07/17/2025 06:27 PM,Approved,Expense,BEST BUY      00002295,,$12.83
07/31/2025 03:39 PM,Approved,Expense,LOOM SUBSCRIPTION,,$20.00
07/31/2025 03:41 PM,Approved,Expense,UBER *TRIP,,$41.94
07/31/2025 03:44 PM,Approved,Expense,A CLASSIC PARTY RENTAL,,"$3,084.16"
07/31/2025 03:44 PM,Approved,Expense,WP*justinsicking.com,,$800.00
07/31/2025 03:44 PM,Approved,Expense,TRACTOR SUPPLY CO #1671,,$337.01
07/31/2025 03:45 PM,Approved,Expense,OFFICEMAX/DEPOT 6545,,$55.86
08/07/2025 08:44 AM,Approved,Invoice,INV I35043 - Trailer Water Tank Rental & Installation - Westfield Collective,,"$1,250.00"
07/11/2025 07:34 PM,Approved,Invoice,Westfield Collective - Well Abandonment,,"$1,140.00"
12/05/2025 08:07 AM,Approved,Expense,Pay Period 11.16.25 through 11.29.25 Pay Date 12.05.25,,"$10,910.67"
12/05/2025 03:51 PM,Approved,Invoice,Inv29379364 Westfield Collective,,$431.86
12/05/2025 03:51 PM,Approved,Invoice,"Invoice 294998 : Westfield Collective Nov 17-26, 2025",,"$2,563.00"
12/05/2025 03:51 PM,Approved,Invoice,INV9855 - Westfield Collective,,$500.00
04/15/2025 01:28 PM,Approved,Expense,FIREFLIES.AI,,$4.88
04/15/2025 01:31 PM,Approved,Expense,UBER   *TRIP,,$44.61
04/15/2025 01:33 PM,Approved,Expense,"
VSP*PERSONNEL CONCEPTS",,$29.85
05/14/2025 10:56 AM,Approved,Expense,Fixed Fee Services - Construction Documentation (90% complete) -Westfield Collective,,"-$6,300.00"
07/08/2025 11:25 AM,Approved,Expense,Fixed Fee Services - Design Development,,"-$21,000.00"
07/08/2025 11:40 AM,Approved,Expense,Professional Services through 02/28/2024 - Westfield Collective,,"-$2,625.00"
07/08/2025 11:43 AM,Approved,Expense,Professional Services through 01/31/2024,,"-$2,625.00"
07/08/2025 12:09 PM,Approved,Expense,Fixed Fee Services - Design Development (75% complete),,"-$10,500.00"
03/18/2025 02:12 PM,Approved,Expense,Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 (REVERSAL),,"-$2,303.19"
08/01/2025 01:44 PM,Approved,Expense,Pay Date 06/20/2025 | Pay Period for : B 06/01/2025 to 06/14/2025,,"$12,868.83"
07/11/2025 07:34 PM,Approved,Invoice,"Westfield Collective - Preliminary site layout, site construction plan & design",,"$12,210.86"
04/16/2025 03:08 PM,Approved,Expense,Pay Date 04/11/2025 | Pay Period for : B 03/23/2025 to 04/05/2025,,"$11,658.81"
08/01/2025 11:59 AM,Approved,Expense,Pay Date 07/18/2025_Pay Period for : B 06/29/2025 to 07/12/2025,,"$14,671.36"
08/11/2025 02:43 PM,Approved,Expense,Pay Date 05/09/2025 | Pay Period for : B 04/20/2025 to 05/03/2025,,$218.75
08/11/2025 03:57 PM,Approved,Expense,SPEEDWAY 06882 740 EAST S,,$21.40
08/11/2025 03:52 PM,Approved,Expense,AMERICAN AIR JR Trip to Indy,,$822.96
08/11/2025 03:52 PM,Approved,Expense,COA CHEAPOAIR.COM AIR JR Trip to Indy,,$33.21
08/11/2025 03:52 PM,Approved,Expense,COA CHEAPOAIR.COM AIR JR Trip to Indy,,$295.91
08/11/2025 03:53 PM,Approved,Expense,AMAZON MKTPL*AB5YD7YS3,,$136.48
08/11/2025 03:54 PM,Approved,Expense,THE HOME DEPOT #2037,,$85.35
08/11/2025 03:54 PM,Approved,Expense,LOWES #01525*,,$58.32
08/11/2025 03:54 PM,Approved,Expense,TRACTOR-SUPPLY-CO #0431,,$80.24
08/11/2025 03:55 PM,Approved,Expense,MEIJER EXPRESS 319,,$27.45
08/11/2025 03:55 PM,Approved,Expense,TRACTOR-SUPPLY-CO #0431,,$102.69
08/11/2025 03:55 PM,Approved,Expense,MEIJER STORE #319,,$109.02
08/11/2025 03:55 PM,Approved,Expense,COSTCO GAS #0346,,$60.00
08/11/2025 03:55 PM,Approved,Expense,Big Hoffas BBQ RETAIL BH1,,"$1,716.27"
08/11/2025 03:56 PM,Approved,Expense,SPEEDWAY 06629 1708 E 116,,$66.30
08/11/2025 03:57 PM,Approved,Expense,CARROLL DIST #017,,$873.22
08/11/2025 03:57 PM,Approved,Expense,VZWRLSS*APOCC VISB,,$495.02
08/11/2025 01:47 PM,Approved,Expense,Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025,,$56.00
08/11/2025 01:56 PM,Approved,Expense,Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025,,$35.00
08/11/2025 02:11 PM,Approved,Expense,Pay Date 03/14/2025 | Pay Period for : B 02/23/2025 to 03/08/2025,,$134.75
08/04/2025 08:39 AM,Approved,Invoice,IN-10130 Design Fees Westfield Collective (3/3),,"$5,302.44"
08/18/2025 11:31 AM,Approved,Expense,Pay Date 03/28/2025 Adj,,$24.95
08/18/2025 07:26 AM,Approved,Expense,LOWES #01525*,,$111.21
08/19/2025 05:14 AM,Approved,Invoice,Inv101368- Construction Administration - Westfield Collective,,"$2,250.00"
08/08/2025 05:16 AM,Approved,Invoice,Invoice 283483 : Westfield Collective 7/25,,$499.00
08/13/2025 05:15 AM,Approved,Invoice,Westfield Collective - Misc Other Items,,$75.00
08/13/2025 05:15 AM,Approved,Invoice,CVG41-5250806-0002 - Westfield Collective,,$535.00
08/13/2025 05:15 AM,Approved,Invoice,"Job Posting - Applied on March 24,2025",,"$1,319.89"
09/08/2025 11:53 AM,Approved,Expense,GET GO #7551,,$17.24
09/08/2025 11:56 AM,Approved,Expense,FAMILY EXPRESS #77,,$8.00
08/21/2025 10:49 AM,Approved,Expense,THE HOME DEPOT #2037,,$516.65
08/21/2025 10:51 AM,Approved,Expense,PILOT 242,,$70.00
08/21/2025 10:53 AM,Approved,Expense,TST*BIRDIES,,$92.94
09/08/2025 11:53 AM,Approved,Expense,GET GO #7551,,$5.99
09/05/2025 12:11 PM,Approved,Expense,Pay Period 08.10.25 - 08.23.25 Pay Date 08.29.25,,"$17,026.22"
08/08/2025 05:16 AM,Approved,Invoice,CVG41-5250806-0003 - Westfield Collective,,$171.20
09/09/2025 05:17 AM,Approved,Invoice,Westfield Collective,,"$1,080.70"
08/21/2025 10:53 AM,Approved,Expense,DUKE ENERGY INDIANA,,"$1,687.77"
09/08/2025 11:54 AM,Approved,Expense,FAMILY EXPRESS #77,,$8.00
08/21/2025 10:52 AM,Approved,Expense,GET GO #7551,,$67.00
08/21/2025 08:40 AM,Approved,Expense,Pay Period 07.13.25 - 07.26.25 Pay Date 08.01.25,,"$18,894.85"
08/21/2025 12:18 PM,Approved,Expense,Pay Period 07.13.25 - 07.26.25 Pay Date 08.01.25 Per Diem-Cellphone,,$227.50
09/09/2025 05:17 AM,Approved,Invoice,Invoice 286299 : Westfield Collective 08/18/25,,$499.00
08/13/2025 01:51 PM,Approved,Expense,Pay Date 07/03/2025_Pay period 06/15/2025 to 06/28/2025-Per Diem-Cellphone,,$189.00
09/13/2025 05:14 AM,Approved,Invoice,Westfield Collective,,"$1,080.70"
09/09/2025 05:17 AM,Approved,Invoice,INV I38510 - Standard Toilet - Westfield Collective,,$300.00
08/11/2025 03:50 PM,Approved,Expense,OFFICEMAX/DEPOT 6545,,$18.17
05/14/2025 10:41 AM,Approved,Expense,Fixed Fee Services - Design Development (100% complete) -Westfield Collective,,$0.00
05/09/2025 09:46 AM,Approved,Expense,PIP PRINTING - CARMEL,,$117.42
08/21/2025 10:49 AM,Approved,Expense,HOMEDEPOT.COM,,$64.10
03/31/2025 11:37 AM,Approved,Expense,Payroll # 20251 | Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025,,"$2,303.19"
04/07/2025 07:11 AM,Approved,Expense,,,"$1,524.03"
05/14/2025 10:39 AM,Approved,Expense,Fixed Fee Services - Design Development (100% complete) -Westfield Collective,,"-$10,500.00"
05/09/2025 09:46 AM,Approved,Expense,AMAZON MARK* N21C74WD1,,$120.83
05/20/2025 09:24 AM,Approved,Expense,VZWRLSS*APOCC VISB,,$199.95
05/09/2025 09:46 AM,Approved,Expense,STAPLES       00108092,,$98.94
05/09/2025 09:48 AM,Approved,Expense,SPEEDWAY 06882 740 EAST S,,$53.77
05/09/2025 09:29 AM,Approved,Expense,AIR CHARTER INC,,"$5,775.00"
05/09/2025 09:46 AM,Approved,Expense,AMAZON MARK* 7Q1I64KI3,,$147.60
06/10/2025 01:03 PM,Approved,Expense,TST* 1933 - CARMEL,,$349.76
08/11/2025 03:54 PM,Approved,Expense,SPEEDWAY 06882 740 EAST S,,$14.13
08/01/2025 11:17 AM,Approved,Expense,Pay Date 07/03/2025_Pay period 06/15/2025 to 06/28/2025,,"$20,891.44"
08/11/2025 02:26 PM,Approved,Expense,Pay Date 04/11/2025 | Pay Period for : B 03/23/2025 to 04/05/2025,,$350.81
05/09/2025 09:46 AM,Approved,Expense,BESTBUYCOM807031236098,,$192.56
05/09/2025 09:46 AM,Approved,Expense,PAYPAL *TTCPEXPRESS,,$150.00
10/16/2025 02:03 PM,Approved,Expense,Record Aug '25 Insurance,,"$14,072.41"
10/14/2025 04:03 AM,Approved,Invoice,Invoice 291034 : Westfield Collective 10/3/25,,$499.00
10/21/2025 01:14 PM,Approved,Expense,SC-2403-0001 Westfield Collective PayApp4,,"-$168,300.00"
10/22/2025 04:04 AM,Approved,Invoice,SC-2403-0001 Westfield Collective PayApp4,,"$168,300.00"
10/06/2025 12:10 PM,Approved,Expense,VZWRLSS*APOCC VISB,,$472.02
10/06/2025 12:22 PM,Approved,Expense,LOWES #01525*,,$51.32
10/06/2025 12:06 PM,Approved,Expense,Evernote,,$14.99
10/06/2025 12:15 PM,Approved,Expense,COSTCO GAS #0347,,$50.09
10/06/2025 12:22 PM,Approved,Expense,LOWES #01525*,,$125.32
10/06/2025 12:10 PM,Approved,Expense,"NOTION LABS, INC.",,$66.00
10/06/2025 12:22 PM,Approved,Expense,ALDI 44089,,$2.99
09/15/2025 10:44 AM,Approved,Expense,SPEEDWAY 06882 740 EAST S,,$6.49
09/05/2025 11:30 AM,Approved,Expense,Pay Period 07.27.25 - 08.09.25 Pay Date 08.15.25,,"$20,327.70"
07/11/2025 07:34 PM,Approved,Invoice,Fixed Fee Services - Design Development (100% complete) -Westfield Collective,,"$10,500.00"
09/09/2025 05:17 AM,Approved,Invoice,Invoice 286061 : Westfield Collective 08/13/25,,$483.00
09/18/2025 12:51 PM,Approved,Invoice,Invoice 287766 : Westfield Collective 09/5/25,,$499.00
09/18/2025 12:51 PM,Approved,Invoice,Inv 2025090050094 - 50% Utility Relocation- Westfield Collective,,"$15,180.09"
08/19/2025 01:32 PM,Approved,Expense,Pay Date 07/22/2025_Pay Period 06/29/2025 to 07/12/2025 Jesse Remillard,,"$2,782.76"
09/09/2025 05:17 AM,Approved,Invoice,INV I38512 - Trailer Water Tank Rental & Trailer Waste Tank- Westfield Collective,,$500.00
09/18/2025 12:51 PM,Approved,Invoice,INV I39652 - Trailer Water & Waste tank - Westfield Collective,,$500.00
