issue_number,feedback_item_id,created_at,inbox_section,inbox_status,severity,category,tool,submitted_from_path,submitted_from_url,page_title,title,description,github_state_from_db,status_summary,proof_bucket,next_action,screenshot_path,evidence_label,evidence_url,github_issue_url,velt_comment_url,attachment_urls
583,9183d571-3a34-433f-8a2e-bee83511a845,2026-07-01T03:31:09.624222+00:00,Not marked verified,resolved,medium,,Tasks,/tasks,http://localhost:3001/tasks,Alleato AI - Project Management,For the up arrow you should have the ability to say why it is good so you can provide context for the AI.,For the up arrow you should have the ability to say why it is good so you can provide context for the AI.,open,Feedback: resolved; Audit: not yet verified in current pass,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/tasks/tasks-page-current.png,No fresh route-level task evidence recorded yet,,https://github.com/MeganHarrison/alleato-pm/issues/583,https://projects.alleatogroup.com/tasks?scope=mine&scommentId=XMMk2Xv90rRRGs35vBhT,
582,4e5b3d5a-0a96-42a4-8a43-e9276ba3a4ca,2026-07-01T03:31:08.888385+00:00,Not marked verified,resolved,medium,,Tasks,/tasks,http://localhost:3001/tasks,Alleato AI - Project Management,"Should be able to filter by job and person so if I wanted to look at what was in someone's court I could, or look at what is overdue etc.","Should be able to filter by job and person so if I wanted to look at what was in someone's court I could, or look at what is overdue etc.",open,Feedback: resolved; Audit: not yet verified in current pass,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/tasks/tasks-page-current.png,No fresh route-level task evidence recorded yet,,https://github.com/MeganHarrison/alleato-pm/issues/582,https://projects.alleatogroup.com/tasks?scope=all&task=175a359d-93ef-4bdf-93f8-50384b985d83&view=table&scommentId=41wpmVm29fiFluo8za3o,
580,6262978f-859f-4b5e-90f7-7cb2edf4fb34,2026-07-01T03:31:07.354259+00:00,Not marked verified,resolved,low,,Meetings,/meetings/01KVTCKJXEWVBTFFVAK956WS9B,http://localhost:3001/meetings/01KVTCKJXEWVBTFFVAK956WS9B,Alleato AI - Project Management,you have tasks and action items. What is the difference?,you have tasks and action items. What is the difference?,open,Feedback: resolved; Audit: not yet verified in current pass; GitHub: CLOSED/COMPLETED,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/meetings/meetings-page-current.png,No fresh route-level task evidence recorded yet,,https://github.com/MeganHarrison/alleato-pm/issues/580,https://projects.alleatogroup.com/meetings/01KVTCKJXEWVBTFFVAK956WS9B?scommentId=zGRdb0EQJiiqZX73lOuk,
579,5af7be7e-2d6c-4a47-84be-e5e4c2769a74,2026-07-01T03:31:06.527673+00:00,Not marked verified,resolved,medium,,Meetings,/meetings,http://localhost:3001/meetings,Alleato AI - Project Management,"Where is the create meeting? The entire point of this is to be able to create meetings and agendas/notes for those meetings. Like a weekly OAC meeting, you can...","Where is the create meeting? The entire point of this is to be able to create meetings and agendas/notes for those meetings. Like a weekly OAC meeting, you can see how Procore has there meetings thing set up. This is just copying everything from fireflies which isn't the point.",open,Feedback: resolved; Audit: not fixed; GitHub: OPEN/REOPENED,Not fixed,Move to fix loop or reopen; verify exact named route after repair.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/meetings/meetings-page-current.png,Meeting creation audit notes,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/579,https://projects.alleatogroup.com/meetings?scommentId=aK6DWzznWIon2QPpj4ND,
578,d5e15f0a-6b75-4cf2-9053-fcc82b6fb53d,2026-07-01T03:31:05.778659+00:00,Not marked verified,resolved,high,,Meetings,/876/meetings,http://localhost:3001/876/meetings,Alleato AI - Project Management,"when I click into a meeting it just routes me to company meetings, so its the same list of meetings. But we need them to be in the specifc job. See my other me...","when I click into a meeting it just routes me to company meetings, so its the same list of meetings. But we need them to be in the specifc job. See my other meetings comment.",open,Feedback: resolved; Audit: not yet verified in current pass; GitHub: CLOSED/COMPLETED,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/meetings/meetings-page-current.png,No fresh route-level task evidence recorded yet,,https://github.com/MeganHarrison/alleato-pm/issues/578,https://projects.alleatogroup.com/876/meetings?scommentId=JfQUY0T3HEps5ODvPkek,
577,f82f1269-fe21-42c9-a3c8-51c4cefec6a9,2026-07-01T03:31:05.040688+00:00,Not marked verified,resolved,medium,,Directory,/876/directory,http://localhost:3001/876/directory,Alleato AI - Project Management,"this should be add a person, not add a contact. you should be able to click a button that says add from company directory. Refrence Procore how they have there...","this should be add a person, not add a contact. you should be able to click a button that says add from company directory. Refrence Procore how they have there's set up.",open,Feedback: resolved; Audit: not yet verified in current pass; GitHub: CLOSED/COMPLETED,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/directory/directory-876-page-current.png,No fresh route-level task evidence recorded yet,,https://github.com/MeganHarrison/alleato-pm/issues/577,https://projects.alleatogroup.com/876/directory?scommentId=iJoMz4IXUXVRJzMocwU3,
575,f34cecf5-a39a-4d69-a698-60fbd5c9519c,2026-07-01T03:31:02.62725+00:00,Not marked verified,resolved,medium,,Drawings,/876/drawings,http://localhost:3001/876/drawings,Alleato AI - Project Management,"I should be able to cloud something and the option to link and other function shows up, just like how procore drawing function does. See screen shot.","I should be able to cloud something and the option to link and other function shows up, just like how procore drawing function does. See screen shot.",open,Feedback: resolved; Audit: unproven,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/drawings/drawings-viewer-working-current.png,Drawings audit notes,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/575,https://projects.alleatogroup.com/876/drawings?scommentId=LmLM6phOhzEqVl8tU3Ne,https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F4775136321983355%2Fcomment%2FLmLM6phOhzEqVl8tU3Ne%2F221518_4SWfrj4dwfT31CZNp0ip.png?alt=media&token=378473bc-0159-4e4d-8910-b0c670a0e8a2
574,99c648d3-c2ed-4155-ad83-ff0f043f5634,2026-07-01T03:31:01.919215+00:00,Not marked verified,resolved,high,,Drawings,/876/drawings,http://localhost:3001/876/drawings,Alleato AI - Project Management,"when I click QR code it pulls one up and then when I scan it with my phone it just takes me to this login page, it should take me right to that drawing I would...","when I click QR code it pulls one up and then when I scan it with my phone it just takes me to this login page, it should take me right to that drawing I would think.",open,Feedback: resolved; Audit: not fixed,Not fixed,Move to fix loop or reopen; verify exact named route after repair.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/drawings/drawings-callback-access-denied.png,Deep-link failure proof,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/574,https://projects.alleatogroup.com/876/drawings?scommentId=LG62Ha62EFyDMxB3FMsA,
572,60d1eb91-bb99-47fb-97e6-b94fa6ca26ea,2026-07-01T03:31:00.30992+00:00,Not marked verified,resolved,low,,Documents,/876/documents,http://localhost:3001/876/documents,Documents,"Where are these documents coming from, who is uploading them? Is this something AI is doing?","Where are these documents coming from, who is uploading them? Is this something AI is doing?",open,Feedback: resolved; Audit: not yet verified in current pass; GitHub: CLOSED/COMPLETED,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/documents/documents-page-current.png,No fresh route-level task evidence recorded yet,,https://github.com/MeganHarrison/alleato-pm/issues/572,https://projects.alleatogroup.com/876/documents?scommentId=PDSSC1LJDLkSKRHRAZyT,
569,36ab292c-dc5e-4201-949d-ca37d543836c,2026-07-01T03:30:57.97709+00:00,Not marked verified,resolved,medium,,RFIs,/876/rfis/new,http://localhost:3001/876/rfis/new,Alleato AI - Project Management,Should only pull from people who are in the project.,Should only pull from people who are in the project.,open,Feedback: resolved; Audit: unproven with positive evidence; GitHub: CLOSED/COMPLETED,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/rfis/rfi-new-current.png,RFI create-route assignee proof,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/569,https://projects.alleatogroup.com/876/rfis/new?scommentId=6m0X9lBBQLWasC93o3S4,
568,f5f68473-9d9a-492a-a641-ed31756dc658,2026-07-01T03:30:57.238721+00:00,Not marked verified,resolved,medium,,RFIs,/876/rfis,http://localhost:3001/876/rfis,Alleato AI - Project Management,"I should be able to export PDF that is formated as a RFI log, I should be able to click and export just this single RFI as well. RFI page should be able to be...","I should be able to export PDF that is formated as a RFI log, I should be able to click and export just this single RFI as well. RFI page should be able to be configured like the Procore one shown in the screen shot.",open,Feedback: resolved; Audit: not fixed,Not fixed,Move to fix loop or reopen; verify exact named route after repair.,/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/rfis/rfis-page-current.png,RFI list/export proof,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/568,https://projects.alleatogroup.com/876/rfis?scommentId=mR2W61n6FjZ7E6k7Hn6L,https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F4894979336379645%2Fcomment%2FmR2W61n6FjZ7E6k7Hn6L%2F266178_ht5JbOduM1w8XrEJkSZ5.png?alt=media&token=466262ae-1ff4-48c7-b1af-0c30f000269a https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F4894979336379645%2Fcomment%2FmR2W61n6FjZ7E6k7Hn6L%2F334384_y8T9t4HviSBt5WwqiBAX.png?alt=media&token=b0d57630-efef-4cef-9b72-00bb5a50400d
567,130de417-7918-407b-a3ac-c31ae70b1136,2026-07-01T03:30:56.131486+00:00,Not marked verified,resolved,medium,,Submittals,/876/submittals/e2b8898d-d3f8-4e63-b16a-61fa9f1e12c4,http://localhost:3001/876/submittals/e2b8898d-d3f8-4e63-b16a-61fa9f1e12c4,Alleato AI - Project Management,"you should be able to click view or edit, right now you just click into it and then it is all editable, that invites mistakes. Also in the workflow section the...","you should be able to click view or edit, right now you just click into it and then it is all editable, that invites mistakes. Also in the workflow section the first person in the workflow should be the submitter, the approver should be greyed out unless there is a step before them.",open,Feedback: resolved; Audit: unproven with partial positive evidence,Needs verification,"Run one focused route proof for the missing behavior, not a full retest.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/submittals/submittal-detail-current.png,Submittal detail-route proof,/Users/meganharrison/Documents/alleato-pm/docs/ops/tasks/2026-07-03-feedback-inbox-non-budget-72h-audit.md,https://github.com/MeganHarrison/alleato-pm/issues/567,https://projects.alleatogroup.com/876/submittals/e2b8898d-d3f8-4e63-b16a-61fa9f1e12c4?scommentId=UhKHMBbr6NGfB87iQCuM,https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F1202715454734776%2Fcomment%2FUhKHMBbr6NGfB87iQCuM%2F138854_Bu1Sk1Iy7z62X9IwCGV4.png?alt=media&token=6a4e4cb5-c711-4625-8523-a0d72a9c6c38
563,a7dd954b-ea09-4b56-888d-9f0aebf8bab5,2026-07-01T03:30:53.171566+00:00,Not marked verified,resolved,medium,,Transmittals,/876/transmittals,http://localhost:3001/876/transmittals,Transmittals - Project - Exol Morrisville,"This is howa transmittal page should look, please refrence procore.","This is howa transmittal page should look, please refrence procore.",open,Feedback: resolved; Audit: not yet verified in current pass; GitHub: CLOSED/COMPLETED,Needs verification,"Run focused browser verification on the named route and classify as verified fixed, not fixed, or deferred.",/Users/meganharrison/Documents/alleato-pm/docs/ops/evidence/2026-07-03-feedback-inbox-non-budget-72h-audit/transmittals/transmittals-page-current.png,No fresh route-level task evidence recorded yet,,https://github.com/MeganHarrison/alleato-pm/issues/563,https://projects.alleatogroup.com/876/transmittals?scommentId=KkWn15lhoGZMO0AtLMvE,https://firebasestorage.googleapis.com/v0/b/snipply-sdk-prod-test/o/FrgDvrLSN1kXy31AiIur%2Forganizations%2F141ab3a12d44492b6b8df4843768f45a%2Fdocs%2F8231974692723306%2Fcomment%2FKkWn15lhoGZMO0AtLMvE%2F404448_lLjrbDaOxVqJdBlMgS9t.png?alt=media&token=1bc961f5-eee8-44e5-b7e4-39a9bdc4992c
562,142d917a-20b1-4bed-88ec-6bbe13fefaab,2026-07-01T03:30:52.418557+00:00,Not marked verified,resolved,medium,,Budget,/876/budget,http://localhost:3001/876/budget,Budget - Project - Exol Morrisville,Should be able to export as PDF as well.,Should be able to export as PDF as well.,open,Feedback: resolved; Budget audit excluded,Excluded - budget audit,Handle in separate budget audit queue.,,Excluded from the current non-budget audit pass,,https://github.com/MeganHarrison/alleato-pm/issues/562,https://projects.alleatogroup.com/876/budget?scommentId=HLhOudnXEOEgzPYS8sH7,
